Trip_ID,Vehicle_ID,Driver_ID,Manufacturer,Model,Registration_No,Battery_Capacity_kWh,Current_Battery_%,Battery_Remaining_%,Expected_Range_km,Status,Date_Time,Start_Time,Distance_km,Avg_Speed_kmph,Revenue,Electricity_Cost,Maintenance_Cost,Overspeed_Count
TRIP-100040,EV-1022,DRV-5022,Kia,EV9,REG-24VD-8275,100,57,57,210,Running,2026-03-28 18:33:46,10:44,148.14,35.0,225.85,0.0,0.0,2
TRIP-100041,EV-1007,DRV-5007,BYD,Atto 3,REG-87OO-4398,50,55,55,184,Charging,2026-07-19 02:53:25,00:54,0.0,0.0,0.0,9.12,0.0,0
TRIP-100042,EV-1009,DRV-5009,Kia,EV9,REG-95ME-4405,100,95,95,376,Running,2026-11-14 01:31:12,11:31,88.87,67.6,189.26,0.0,0.0,0
TRIP-100043,EV-1001,DRV-5001,Tata,Punch EV,REG-67ZP-2128,25,76,76,246,Charging,2026-09-25 02:35:10,19:06,0.0,0.0,0.0,10.63,0.0,0
TRIP-100044,EV-1013,DRV-5013,Tata,Punch EV,REG-94KU-9544,25,81,81,316,Garage,2026-02-01 15:29:53,21:27,0.0,0.0,0.0,0.0,0.0,0
TRIP-100045,EV-1042,DRV-5042,Hyundai,Kona EV,REG-51WT-9670,48,14,14,49,Charging,2026-11-26 00:02:06,08:58,0.0,0.0,0.0,24.62,0.0,0
TRIP-100046,EV-1019,DRV-5019,Hyundai,Ioniq 5,REG-60LM-9597,77,39,39,150,Running,2026-07-09 08:19:48,00:52,142.71,35.1,194.38,0.0,0.0,1
TRIP-100047,EV-1029,DRV-5029,Tesla,Model Y,REG-83XL-4438,75,46,46,188,Charging,2026-01-23 11:55:19,20:09,0.0,0.0,0.0,31.2,0.0,0
TRIP-100048,EV-1020,DRV-5020,Tesla,Model Y,REG-70HS-3349,75,60,60,259,Charging,2026-12-29 07:41:49,04:08,0.0,0.0,0.0,26.39,0.0,0
TRIP-100049,EV-1045,DRV-5045,Tata,Punch EV,REG-82MR-9608,25,75,75,288,Charging,2026-11-10 17:29:51,19:00,0.0,0.0,0.0,8.34,0.0,0
TRIP-100050,EV-1021,DRV-5021,Tesla,Model 3,REG-17KV-1641,60,7,7,22,Charging,2026-01-03 09:06:05,22:12,0.0,0.0,0.0,27.62,0.0,0
TRIP-100051,EV-1015,DRV-5015,Tesla,Model 3,REG-40VN-6631,60,47,47,152,Charging,2026-04-24 20:40:18,21:33,0.0,0.0,0.0,15.07,0.0,0
TRIP-100052,EV-1036,DRV-5036,Kia,EV9,REG-16VV-9291,100,26,26,98,Garage,2026-02-07 12:03:55,19:34,0.0,0.0,0.0,0.0,0.0,0
TRIP-100053,EV-1008,DRV-5008,Kia,EV6,REG-87PO-2721,77,60,60,227,Charging,2026-12-01 15:11:26,04:38,0.0,0.0,0.0,20.46,0.0,0
TRIP-100054,EV-1003,DRV-5003,Tesla,Model 3,REG-34KD-3097,60,82,82,305,Running,2026-12-04 13:24:42,01:11,13.99,58.0,27.62,0.0,0.0,0
TRIP-100055,EV-1031,DRV-5031,Tesla,Model Y,REG-35HH-1401,75,42,42,179,Running,2026-05-09 13:46:23,16:29,132.01,44.1,205.7,0.0,0.0,1
TRIP-100056,EV-1007,DRV-5007,BYD,Atto 3,REG-87OO-4398,50,66,66,276,Charging,2026-03-05 02:13:24,12:28,0.0,0.0,0.0,22.95,0.0,0
TRIP-100057,EV-1023,DRV-5023,BYD,Seal,REG-18BR-1542,82,65,65,263,Running,2026-03-06 01:17:24,01:56,16.31,37.6,35.51,0.0,0.0,0
TRIP-100058,EV-1048,DRV-5048,Tata,Nexon EV,REG-64CK-1324,40,21,21,78,Running,2026-06-19 09:07:19,16:30,57.26,48.7,112.64,0.0,11.41,0
TRIP-100059,EV-1004,DRV-5004,Tata,Punch EV,REG-40RF-3948,25,6,6,20,Charging,2026-01-18 09:17:01,08:59,0.0,0.0,0.0,26.88,0.0,0
TRIP-100060,EV-1044,DRV-5044,Kia,EV6,REG-47TG-9858,77,30,30,96,Running,2026-02-02 14:14:52,10:18,169.32,52.7,246.29,0.0,0.0,0
TRIP-100061,EV-1009,DRV-5009,Kia,EV9,REG-95ME-4405,100,28,28,113,Garage,2026-02-22 20:21:17,16:24,0.0,0.0,0.0,0.0,0.0,0
TRIP-100062,EV-1015,DRV-5015,Tesla,Model 3,REG-40VN-6631,60,21,21,86,Garage,2026-01-24 18:33:45,11:12,0.0,0.0,0.0,0.0,0.0,0
TRIP-100063,EV-1006,DRV-5006,Tesla,Model Y,REG-53FY-2185,75,24,24,98,Garage,2026-11-10 18:34:29,03:09,0.0,0.0,0.0,0.0,0.0,0
TRIP-100064,EV-1004,DRV-5004,Tata,Punch EV,REG-40RF-3948,25,40,40,149,Charging,2026-11-26 17:26:53,22:29,0.0,0.0,0.0,18.34,0.0,0
TRIP-100065,EV-1045,DRV-5045,Tata,Punch EV,REG-82MR-9608,25,94,94,331,Garage,2026-08-07 19:12:21,06:08,0.0,0.0,0.0,0.0,0.0,0
TRIP-100066,EV-1033,DRV-5033,Kia,EV6,REG-21AH-8788,77,92,92,312,Running,2026-10-14 05:44:37,17:02,71.17,69.1,135.8,0.0,0.0,0
TRIP-100067,EV-1044,DRV-5044,Kia,EV6,REG-47TG-9858,77,89,89,378,Garage,2026-09-03 17:13:04,11:53,0.0,0.0,0.0,0.0,0.0,0
TRIP-100068,EV-1044,DRV-5044,Kia,EV6,REG-47TG-9858,77,70,70,306,Charging,2026-01-07 14:32:47,02:49,0.0,0.0,0.0,18.61,0.0,0
TRIP-100069,EV-1047,DRV-5047,BYD,Atto 3,REG-57KE-2952,50,28,28,97,Running,2026-07-22 06:35:53,00:33,136.45,54.9,204.34,0.0,0.0,0
TRIP-100070,EV-1024,DRV-5024,Tesla,Model Y,REG-99CH-7127,75,20,20,68,Running,2026-03-02 22:15:58,18:03,133.17,33.0,198.29,0.0,0.0,0
TRIP-100071,EV-1046,DRV-5046,Tata,Punch EV,REG-57GE-9327,25,12,12,42,Charging,2026-10-26 19:34:35,02:27,0.0,0.0,0.0,18.56,0.0,0
TRIP-100072,EV-1050,DRV-5050,Tata,Nexon EV,REG-53YA-8703,40,90,90,367,Garage,2026-03-07 14:10:56,04:36,0.0,0.0,0.0,0.0,0.0,0
TRIP-100073,EV-1011,DRV-5011,BYD,Seal,REG-49SV-2387,82,39,39,148,Running,2026-02-04 01:48:12,23:49,68.33,63.9,154.4,0.0,0.0,2
TRIP-100074,EV-1037,DRV-5037,Tesla,Model Y,REG-46CV-5665,75,58,58,254,Garage,2026-05-23 01:10:28,20:56,0.0,0.0,0.0,0.0,0.0,0
TRIP-100075,EV-1011,DRV-5011,BYD,Seal,REG-49SV-2387,82,65,65,235,Charging,2026-04-06 01:30:51,10:53,0.0,0.0,0.0,9.31,0.0,0
TRIP-100076,EV-1001,DRV-5001,Tata,Punch EV,REG-67ZP-2128,25,79,79,338,Running,2026-02-23 08:40:21,02:43,137.81,61.2,253.07,0.0,0.0,0
TRIP-100077,EV-1013,DRV-5013,Tata,Punch EV,REG-94KU-9544,25,65,65,225,Running,2026-06-28 09:56:50,05:05,164.96,66.5,411.07,0.0,0.0,0
TRIP-100078,EV-1024,DRV-5024,Tesla,Model Y,REG-99CH-7127,75,30,30,103,Garage,2026-11-27 05:16:38,17:36,0.0,0.0,0.0,0.0,0.0,0
TRIP-100079,EV-1017,DRV-5017,BYD,Atto 3,REG-40XE-9091,50,77,77,333,Running,2026-08-07 19:13:35,10:57,64.63,62.8,105.58,0.0,0.0,0
TRIP-100080,EV-1020,DRV-5020,Tesla,Model Y,REG-70HS-3349,75,52,52,208,Garage,2026-10-17 14:14:45,19:59,0.0,0.0,0.0,0.0,0.0,0
TRIP-100081,EV-1021,DRV-5021,Tesla,Model 3,REG-17KV-1641,60,98,98,393,Running,2026-08-22 19:01:07,19:48,86.41,45.4,115.11,0.0,34.49,0
TRIP-100082,EV-1038,DRV-5038,BYD,Atto 3,REG-44OG-8515,50,37,37,143,Charging,2026-08-29 17:54:36,16:31,0.0,0.0,0.0,28.1,0.0,0
TRIP-100083,EV-1006,DRV-5006,Tesla,Model Y,REG-53FY-2185,75,20,20,84,Running,2026-11-29 09:26:50,07:39,157.16,36.0,357.05,0.0,0.0,0
TRIP-100084,EV-1040,DRV-5040,Kia,EV9,REG-86TG-1070,100,34,34,142,Garage,2026-08-05 13:35:44,18:33,0.0,0.0,0.0,0.0,0.0,0
TRIP-100085,EV-1010,DRV-5010,Hyundai,Ioniq 5,REG-46HO-5814,77,94,94,361,Running,2026-12-11 07:11:28,13:05,158.12,50.8,380.92,0.0,0.0,0
TRIP-100086,EV-1018,DRV-5018,Hyundai,Kona EV,REG-61RQ-8391,48,60,60,205,Charging,2026-10-20 04:04:27,17:07,0.0,0.0,0.0,31.93,0.0,0
TRIP-100087,EV-1015,DRV-5015,Tesla,Model 3,REG-40VN-6631,60,7,7,25,Charging,2026-09-04 18:04:48,04:06,0.0,0.0,0.0,11.14,0.0,0
TRIP-100088,EV-1047,DRV-5047,BYD,Atto 3,REG-57KE-2952,50,46,46,161,Charging,2026-06-30 07:15:58,02:17,0.0,0.0,0.0,21.69,0.0,0
TRIP-100089,EV-1036,DRV-5036,Kia,EV9,REG-16VV-9291,100,62,62,271,Garage,2026-07-17 22:16:43,12:07,0.0,0.0,0.0,0.0,0.0,0
TRIP-100090,EV-1004,DRV-5004,Tata,Punch EV,REG-40RF-3948,25,35,35,132,Garage,2026-04-11 13:10:58,10:27,0.0,0.0,0.0,0.0,0.0,0
TRIP-100091,EV-1014,DRV-5014,Hyundai,Kona EV,REG-81FF-2854,48,11,11,42,Garage,2026-06-10 10:20:31,13:36,0.0,0.0,0.0,0.0,0.0,0
TRIP-100092,EV-1031,DRV-5031,Tesla,Model Y,REG-35HH-1401,75,41,41,148,Running,2026-05-04 12:12:12,23:44,159.89,68.0,351.49,0.0,0.0,0
TRIP-100093,EV-1001,DRV-5001,Tata,Punch EV,REG-67ZP-2128,25,89,89,285,Running,2026-04-19 20:58:00,09:50,18.59,58.5,37.85,0.0,0.0,0
TRIP-100094,EV-1028,DRV-5028,BYD,Seal,REG-59OL-4343,82,24,24,85,Garage,2026-03-07 04:59:11,09:21,0.0,0.0,0.0,0.0,0.0,0
TRIP-100095,EV-1022,DRV-5022,Kia,EV9,REG-24VD-8275,100,15,15,60,Garage,2026-11-21 01:20:45,03:50,0.0,0.0,0.0,0.0,0.0,0
TRIP-100096,EV-1025,DRV-5025,BYD,Atto 3,REG-68ZH-1146,50,62,62,227,Charging,2026-06-09 18:33:22,20:00,0.0,0.0,0.0,23.81,0.0,0
TRIP-100097,EV-1011,DRV-5011,BYD,Seal,REG-49SV-2387,82,73,73,297,Charging,2026-04-09 00:49:51,23:47,0.0,0.0,0.0,25.33,0.0,0
TRIP-100098,EV-1028,DRV-5028,BYD,Seal,REG-59OL-4343,82,32,32,124,Running,2026-08-07 06:03:51,19:35,43.15,73.2,71.7,0.0,0.0,0
TRIP-100099,EV-1045,DRV-5045,Tata,Punch EV,REG-82MR-9608,25,41,41,148,Charging,2026-12-30 06:27:08,16:04,0.0,0.0,0.0,30.3,0.0,0
TRIP-100100,EV-1006,DRV-5006,Tesla,Model Y,REG-53FY-2185,75,86,86,314,Garage,2026-06-15 08:03:43,04:14,0.0,0.0,0.0,0.0,0.0,0
TRIP-100101,EV-1005,DRV-5005,BYD,Atto 3,REG-37LD-8792,50,68,68,220,Charging,2026-01-01 12:43:49,16:37,0.0,0.0,0.0,9.68,0.0,0
TRIP-100102,EV-1029,DRV-5029,Tesla,Model Y,REG-83XL-4438,75,42,42,168,Running,2026-08-21 19:02:37,08:34,41.82,59.6,103.46,0.0,0.0,1
TRIP-100103,EV-1039,DRV-5039,Hyundai,Ioniq 5,REG-70OW-2063,77,50,50,207,Charging,2026-11-28 09:03:16,04:29,0.0,0.0,0.0,18.55,0.0,0
TRIP-100104,EV-1043,DRV-5043,BYD,Seal,REG-85KU-7250,82,17,17,64,Charging,2026-03-26 23:39:11,18:55,0.0,0.0,0.0,29.17,0.0,0
TRIP-100105,EV-1014,DRV-5014,Hyundai,Kona EV,REG-81FF-2854,48,66,66,215,Garage,2026-03-20 22:59:48,05:05,0.0,0.0,0.0,0.0,0.0,0
TRIP-100106,EV-1041,DRV-5041,Tesla,Model 3,REG-37SU-9647,60,61,61,235,Running,2026-12-19 10:05:49,08:43,65.1,53.9,144.7,0.0,0.0,1
TRIP-100107,EV-1017,DRV-5017,BYD,Atto 3,REG-40XE-9091,50,56,56,196,Running,2026-06-22 22:17:53,09:03,14.32,68.1,24.9,0.0,0.0,1
TRIP-100108,EV-1035,DRV-5035,Kia,EV6,REG-29MB-4505,77,79,79,341,Garage,2026-08-15 09:36:04,20:51,0.0,0.0,0.0,0.0,0.0,0
TRIP-100109,EV-1028,DRV-5028,BYD,Seal,REG-59OL-4343,82,14,14,47,Charging,2026-10-28 09:24:17,00:12,0.0,0.0,0.0,18.48,0.0,0
TRIP-100110,EV-1050,DRV-5050,Tata,Nexon EV,REG-53YA-8703,40,17,17,57,Running,2026-06-23 03:41:27,18:33,12.31,56.4,21.71,0.0,44.96,0
TRIP-100111,EV-1050,DRV-5050,Tata,Nexon EV,REG-53YA-8703,40,82,82,330,Running,2026-02-22 23:09:06,12:14,16.32,67.4,36.43,0.0,0.0,0
TRIP-100112,EV-1007,DRV-5007,BYD,Atto 3,REG-87OO-4398,50,55,55,236,Running,2026-02-02 06:22:56,14:54,27.38,71.9,56.7,0.0,0.0,0
TRIP-100113,EV-1017,DRV-5017,BYD,Atto 3,REG-40XE-9091,50,40,40,164,Garage,2026-01-25 06:43:47,16:25,0.0,0.0,0.0,0.0,0.0,0
TRIP-100114,EV-1010,DRV-5010,Hyundai,Ioniq 5,REG-46HO-5814,77,70,70,300,Charging,2026-03-09 10:08:42,15:54,0.0,0.0,0.0,31.5,0.0,0
TRIP-100115,EV-1032,DRV-5032,BYD,Atto 3,REG-70XV-6697,50,22,22,84,Running,2026-06-18 03:51:36,09:07,107.62,60.2,228.41,0.0,0.0,0
TRIP-100116,EV-1004,DRV-5004,Tata,Punch EV,REG-40RF-3948,25,60,60,200,Running,2026-05-31 00:31:45,04:35,52.35,63.8,124.03,0.0,0.0,0
TRIP-100117,EV-1042,DRV-5042,Hyundai,Kona EV,REG-51WT-9670,48,11,11,44,Charging,2026-01-19 05:32:16,11:20,0.0,0.0,0.0,9.77,0.0,0
TRIP-100118,EV-1045,DRV-5045,Tata,Punch EV,REG-82MR-9608,25,46,46,161,Running,2026-07-27 15:03:33,14:51,73.02,73.3,97.37,0.0,0.0,1
TRIP-100119,EV-1045,DRV-5045,Tata,Punch EV,REG-82MR-9608,25,42,42,176,Charging,2026-12-18 16:07:46,13:00,0.0,0.0,0.0,20.2,0.0,0
TRIP-100120,EV-1045,DRV-5045,Tata,Punch EV,REG-82MR-9608,25,32,32,124,Running,2026-11-05 19:41:35,08:52,72.42,37.8,152.43,0.0,0.0,0
TRIP-100121,EV-1022,DRV-5022,Kia,EV9,REG-24VD-8275,100,73,73,235,Charging,2026-02-28 08:02:24,06:05,0.0,0.0,0.0,23.03,0.0,0
TRIP-100122,EV-1025,DRV-5025,BYD,Atto 3,REG-68ZH-1146,50,30,30,125,Charging,2026-01-23 20:11:47,05:50,0.0,0.0,0.0,21.06,0.0,0
TRIP-100123,EV-1008,DRV-5008,Kia,EV6,REG-87PO-2721,77,55,55,203,Garage,2026-02-17 14:41:38,23:08,0.0,0.0,0.0,0.0,0.0,0
TRIP-100124,EV-1031,DRV-5031,Tesla,Model Y,REG-35HH-1401,75,58,58,203,Charging,2026-03-19 23:59:18,14:42,0.0,0.0,0.0,31.3,0.0,0
TRIP-100125,EV-1006,DRV-5006,Tesla,Model Y,REG-53FY-2185,75,83,83,335,Garage,2026-08-01 13:11:57,22:30,0.0,0.0,0.0,0.0,0.0,0
TRIP-100126,EV-1026,DRV-5026,Hyundai,Kona EV,REG-79NH-2684,48,70,70,262,Garage,2026-07-17 10:26:21,18:13,0.0,0.0,0.0,0.0,0.0,0
TRIP-100127,EV-1012,DRV-5012,Kia,EV6,REG-11XL-6570,77,94,94,390,Garage,2026-03-10 05:37:13,23:56,0.0,0.0,0.0,0.0,0.0,0
TRIP-100128,EV-1025,DRV-5025,BYD,Atto 3,REG-68ZH-1146,50,73,73,243,Charging,2026-05-05 11:24:28,15:55,0.0,0.0,0.0,26.74,0.0,0
TRIP-100129,EV-1025,DRV-5025,BYD,Atto 3,REG-68ZH-1146,50,22,22,95,Charging,2026-03-24 13:42:53,08:36,0.0,0.0,0.0,18.89,0.0,0
TRIP-100130,EV-1035,DRV-5035,Kia,EV6,REG-29MB-4505,77,22,22,95,Charging,2026-01-19 09:14:31,04:41,0.0,0.0,0.0,30.51,0.0,0
TRIP-100131,EV-1006,DRV-5006,Tesla,Model Y,REG-53FY-2185,75,16,16,64,Running,2026-05-08 23:46:25,13:18,99.18,51.4,123.53,0.0,0.0,2
TRIP-100132,EV-1034,DRV-5034,Hyundai,Ioniq 5,REG-14IK-6071,77,55,55,192,Running,2026-05-25 06:28:49,00:02,97.35,46.3,142.9,0.0,0.0,2
TRIP-100133,EV-1012,DRV-5012,Kia,EV6,REG-11XL-6570,77,44,44,176,Running,2026-08-25 23:24:51,19:26,27.16,54.0,62.66,0.0,33.79,1
TRIP-100134,EV-1009,DRV-5009,Kia,EV9,REG-95ME-4405,100,71,71,250,Charging,2026-09-25 21:21:09,21:22,0.0,0.0,0.0,18.06,0.0,0
TRIP-100135,EV-1045,DRV-5045,Tata,Punch EV,REG-82MR-9608,25,77,77,322,Running,2026-03-02 18:53:39,00:08,78.86,32.0,112.37,0.0,0.0,2
TRIP-100136,EV-1044,DRV-5044,Kia,EV6,REG-47TG-9858,77,11,11,35,Charging,2026-05-16 18:16:58,13:56,0.0,0.0,0.0,29.93,0.0,0
TRIP-100137,EV-1015,DRV-5015,Tesla,Model 3,REG-40VN-6631,60,18,18,67,Garage,2026-07-24 03:15:46,13:35,0.0,0.0,0.0,0.0,0.0,0
TRIP-100138,EV-1034,DRV-5034,Hyundai,Ioniq 5,REG-14IK-6071,77,92,92,347,Running,2026-05-01 04:26:35,01:50,26.36,37.2,45.83,0.0,0.0,0
TRIP-100139,EV-1041,DRV-5041,Tesla,Model 3,REG-37SU-9647,60,20,20,69,Running,2026-06-10 15:26:04,21:08,40.37,32.5,49.83,0.0,0.0,0
TRIP-100140,EV-1031,DRV-5031,Tesla,Model Y,REG-35HH-1401,75,46,46,170,Running,2026-03-22 03:08:47,22:16,66.51,38.6,129.79,0.0,0.0,0
TRIP-100141,EV-1021,DRV-5021,Tesla,Model 3,REG-17KV-1641,60,76,76,314,Running,2026-12-05 16:29:45,07:33,115.4,70.4,176.4,0.0,0.0,0
TRIP-100142,EV-1047,DRV-5047,BYD,Atto 3,REG-57KE-2952,50,72,72,266,Garage,2026-03-22 16:55:30,16:17,0.0,0.0,0.0,0.0,0.0,0
TRIP-100143,EV-1008,DRV-5008,Kia,EV6,REG-87PO-2721,77,89,89,337,Garage,2026-04-12 23:43:45,13:19,0.0,0.0,0.0,0.0,0.0,0
TRIP-100144,EV-1048,DRV-5048,Tata,Nexon EV,REG-64CK-1324,40,75,75,294,Charging,2026-10-07 22:18:49,20:18,0.0,0.0,0.0,22.77,0.0,0
TRIP-100145,EV-1018,DRV-5018,Hyundai,Kona EV,REG-61RQ-8391,48,72,72,279,Garage,2026-06-29 02:39:02,10:18,0.0,0.0,0.0,0.0,0.0,0
TRIP-100146,EV-1028,DRV-5028,BYD,Seal,REG-59OL-4343,82,24,24,84,Garage,2026-06-13 22:37:20,14:30,0.0,0.0,0.0,0.0,0.0,0
TRIP-100147,EV-1006,DRV-5006,Tesla,Model Y,REG-53FY-2185,75,48,48,176,Garage,2026-06-14 17:57:54,15:07,0.0,0.0,0.0,0.0,0.0,0
TRIP-100148,EV-1047,DRV-5047,BYD,Atto 3,REG-57KE-2952,50,64,64,213,Charging,2026-12-01 05:53:21,15:46,0.0,0.0,0.0,25.11,0.0,0
TRIP-100149,EV-1006,DRV-5006,Tesla,Model Y,REG-53FY-2185,75,36,36,133,Running,2026-11-27 16:35:18,14:09,89.39,39.2,133.97,0.0,0.0,0
